"date","close","volume","open","high","low"
"2016/09/26","2709.6370","0.0000","2709.7880","2722.0770","2700.6720"
"2016/09/23","2730.3800","0.0000","2747.4580","2748.1420","2728.4740"
"2016/09/22","2754.3890","0.0000","2762.1490","2765.4780","2747.7220"
"2016/09/21","2746.0470","0.0000","2716.2450","2748.3570","2714.5570"
"2016/09/20","2697.4580","0.0000","2717.9600","2719.0620","2691.5100"
"2016/09/19","2704.7940","0.0000","2718.1430","2735.2400","2697.0830"
"2016/09/16","2704.1030","0.0000","2714.1950","2721.7010","2692.4420"
"2016/09/15","2710.7750","0.0000","2663.1590","2713.1350","2663.1590"
"2016/09/14","2663.7390","0.0000","2650.8180","2679.0850","2646.9940"
"2016/09/13","2651.3660","0.0000","2662.6390","2681.6390","2638.3790"
"2016/09/12","2678.8530","0.0000","2606.6050","2682.5000","2606.2700"
"2016/09/09","2631.3520","0.0000","2684.5930","2695.9240","2631.0330"
"2016/09/08","2708.0560","0.0000","2711.4770","2719.9610","2699.7540"
"2016/09/07","2721.3620","0.0000","2724.3320","2732.7700","2712.8720"
"2016/09/06","2716.4950","0.0000","2707.4820","2717.0070","2701.2720"
"2016/09/02","2700.5170","0.0000","2708.9480","2710.4520","2690.2130"
"2016/09/01","2696.0230","0.0000","2680.1030","2696.0230","2667.3790"
"2016/08/31","2678.9030","0.0000","2682.4760","2683.2610","2663.8220"
"2016/08/30","2686.0690","0.0000","2696.2780","2703.8480","2675.3550"
"2016/08/29","2694.0510","0.0000","2691.2520","2701.9030","2690.0620"
"2016/08/26","2687.3580","0.0000","2671.3870","2699.8920","2667.2500"
"2016/08/25","2662.2170","0.0000","2652.3470","2671.8120","2649.8100"
"2016/08/24","2652.1790","0.0000","2670.8270","2676.6420","2644.5170"
"2016/08/23","2675.9500","0.0000","2674.0240","2684.4120","2672.3030"
"2016/08/22","2660.7990","0.0000","2658.2620","2667.8880","2650.8290"
"2016/08/19","2665.5870","0.0000","2647.1560","2670.1220","2643.2240"
